campaign,run,step,tokens_B,layer,n_transitions,head_dim,frac_transition_any_complex,frac_transition_any_real_neg,frac_alpha_neg,frac_beta_gt1,mean_beta,median_abs_alpha,angle_q50,modulus_complex_q50
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,9728,5.1,0,256,128,0.8203125,0.98828125,0.143524169921875,0.95703125,1.4062284231185913,0.9468631148338318,2.2520297020453937,0.21219503671230633
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,9728,5.1,1,256,128,0.02734375,0.66796875,0.030792236328125,0.09375,0.5542156100273132,0.8931378126144409,2.868330750456734,0.22014743630669542
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,9728,5.1,2,256,128,0.00390625,0.62890625,0.02374267578125,0.02734375,0.3986853361129761,0.896812915802002,1.8034607431832153,0.035361347409293364
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,9728,5.1,3,256,128,0.00390625,0.640625,0.02532958984375,0.05859375,0.4785088002681732,0.8986642360687256,2.1116338515747506,0.05760781803187682
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,9728,5.1,4,256,128,0.015625,0.6953125,0.03118896484375,0.06640625,0.4878321588039398,0.9212092757225037,1.960036424384084,0.06128623802169537
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,9728,5.1,5,256,128,0.07421875,0.64453125,0.055633544921875,0.109375,0.5741448402404785,0.8400845527648926,2.3972707804950883,0.16709303588083615
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,9728,5.1,6,256,128,0.04296875,0.5859375,0.02349853515625,0.1171875,0.5732274055480957,0.9418122172355652,2.6073254489333197,0.1359970706297914
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,9728,5.1,7,256,128,0.09765625,0.6796875,0.035888671875,0.1875,0.6760254502296448,0.920715868473053,2.054981323972473,0.1890753152072544
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,9728,5.1,8,256,128,0.08984375,0.6328125,0.027801513671875,0.17578125,0.6489286422729492,0.9498410224914551,1.6967298329473508,0.10879226159085194
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,9728,5.1,9,256,128,0.1484375,0.734375,0.03167724609375,0.21875,0.6728701591491699,0.9542254209518433,1.9653162951514302,0.1001209203529127
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,9728,5.1,10,256,128,0.203125,0.859375,0.0355224609375,0.33203125,0.841772735118866,0.943979799747467,2.2643752606012466,0.13188319597379905
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,9728,5.1,11,256,128,0.1484375,0.6484375,0.0224609375,0.26953125,0.7540870904922485,0.9538580179214478,2.217243044784083,0.13810235749486788
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,9728,5.1,12,256,128,0.23046875,0.76171875,0.032135009765625,0.39453125,0.8993884921073914,0.9678369760513306,2.3253215851099247,0.1318203222686645
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,9728,5.1,13,256,128,0.2265625,0.64453125,0.017974853515625,0.421875,0.9111469984054565,0.9788947701454163,2.1904726040744906,0.15222147414060672
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,9728,5.1,14,256,128,0.1640625,0.671875,0.01806640625,0.359375,0.857151985168457,0.9921541213989258,1.632456253113915,0.12596832121908966
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,9728,5.1,15,256,128,0.14453125,0.7578125,0.028839111328125,0.28125,0.7675175666809082,0.9859472513198853,2.089635770833137,0.10918229322310417
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,9728,5.1,16,256,128,0.17578125,0.78125,0.020782470703125,0.30078125,0.787186861038208,0.9862310886383057,2.059375346746971,0.1398355088775493
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,9728,5.1,17,256,128,0.16015625,0.66796875,0.015472412109375,0.3046875,0.7452540397644043,0.9914940595626831,2.2076247527434147,0.13037780071619184
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,9728,5.1,18,256,128,0.109375,0.59765625,0.021514892578125,0.2109375,0.6908934712409973,0.9866191148757935,2.3425033237142374,0.11735465615922888
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,9728,5.1,19,256,128,0.1640625,0.72265625,0.014923095703125,0.375,0.8646665811538696,0.9849361777305603,2.1407788860967534,0.12331991507328971
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,9728,5.1,20,256,128,0.12109375,0.69140625,0.022979736328125,0.28125,0.7482237219810486,0.9674561023712158,1.8944651261987537,0.07719362388799055
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,9728,5.1,21,256,128,0.08203125,0.62890625,0.01727294921875,0.15234375,0.5269461870193481,0.9943358898162842,1.8528537125267222,0.15777613020274647
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,9728,5.1,22,256,128,0.0546875,0.75,0.0185546875,0.09375,0.46588122844696045,0.9952635169029236,2.140406052880789,0.12709012510748588
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,9728,5.1,23,256,128,0.0625,0.6484375,0.01202392578125,0.23828125,0.742149293422699,0.9855073690414429,1.9700780341648958,0.11521611198482914
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,19456,10.201,0,256,128,0.88671875,1.0,0.16485595703125,0.953125,1.4618663787841797,0.9174122214317322,2.215248156240015,0.18822398999300186
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,19456,10.201,1,256,128,0.0546875,0.84765625,0.058563232421875,0.09375,0.5453829169273376,0.7540897727012634,2.691392325197624,0.18022991192703658
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,19456,10.201,2,256,128,0.00390625,0.796875,0.040130615234375,0.01171875,0.4302288889884949,0.7959184646606445,2.492791115672929,0.2056045259720103
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,19456,10.201,3,256,128,0.01953125,0.734375,0.0386962890625,0.09375,0.5341639518737793,0.796632707118988,2.9659342600632574,0.08847056515798926
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,19456,10.201,4,256,128,0.0234375,0.84765625,0.044952392578125,0.08203125,0.5384548902511597,0.8509804606437683,2.442005928097098,0.08871840991649885
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,19456,10.201,5,256,128,0.07421875,0.6953125,0.059112548828125,0.13671875,0.6011496782302856,0.7430592179298401,2.1520101591507936,0.1539321794975345
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,19456,10.201,6,256,128,0.046875,0.6953125,0.032318115234375,0.15234375,0.6205834150314331,0.9024634957313538,2.5992893205888192,0.13345741197219846
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,19456,10.201,7,256,128,0.09765625,0.73046875,0.04486083984375,0.21484375,0.7164709568023682,0.8754522800445557,2.5132015959088534,0.12669495574821663
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,19456,10.201,8,256,128,0.09765625,0.765625,0.032196044921875,0.16796875,0.6947305798530579,0.9300848841667175,2.0154597291117318,0.1199013267093396
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,19456,10.201,9,256,128,0.14453125,0.79296875,0.040679931640625,0.203125,0.6762741804122925,0.9395561218261719,2.090855556316398,0.08384960889712424
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,19456,10.201,10,256,128,0.21875,0.8984375,0.04803466796875,0.35546875,0.8722760081291199,0.9281983971595764,2.0668364677123288,0.13585608910201807
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,19456,10.201,11,256,128,0.15234375,0.65625,0.02825927734375,0.234375,0.7475053071975708,0.9473828673362732,1.9324793642869964,0.11278766225063078
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,19456,10.201,12,256,128,0.2734375,0.796875,0.0384521484375,0.44140625,0.9102880954742432,0.9638970494270325,2.2922851120397074,0.12326761479318277
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,19456,10.201,13,256,128,0.2578125,0.734375,0.021728515625,0.46484375,0.9156564474105835,0.9753614068031311,1.8914792684660793,0.15273796558445857
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,19456,10.201,14,256,128,0.2109375,0.6953125,0.018096923828125,0.39453125,0.8838361501693726,0.9913255572319031,1.841390757619213,0.1363756458659038
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,19456,10.201,15,256,128,0.16015625,0.78125,0.028167724609375,0.30078125,0.7701932191848755,0.9838356971740723,2.2385636378324136,0.0875304591823661
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,19456,10.201,16,256,128,0.15625,0.76953125,0.02264404296875,0.31640625,0.7848639488220215,0.9838587641716003,2.187140892507053,0.09787323346218141
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,19456,10.201,17,256,128,0.125,0.71484375,0.017974853515625,0.2734375,0.7504827976226807,0.990423321723938,1.8125863630461914,0.11468247046988742
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,19456,10.201,18,256,128,0.10546875,0.6796875,0.019012451171875,0.26953125,0.7207077145576477,0.9834865927696228,2.409227646357927,0.11838603291892269
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,19456,10.201,19,256,128,0.13671875,0.74609375,0.01617431640625,0.359375,0.8609850406646729,0.9801157712936401,2.031206460538065,0.11412320269403785
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,19456,10.201,20,256,128,0.10546875,0.73828125,0.023468017578125,0.296875,0.7678976655006409,0.9498623013496399,1.5169621738748078,0.095538132747572
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,19456,10.201,21,256,128,0.0546875,0.73046875,0.017791748046875,0.109375,0.5189006328582764,0.993456244468689,2.0533675012672434,0.09769206564941094
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,19456,10.201,22,256,128,0.0625,0.8125,0.0211181640625,0.11328125,0.4724501371383667,0.9948111772537231,2.338390312105078,0.11005295862895761
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,19456,10.201,23,256,128,0.08203125,0.69921875,0.01458740234375,0.26953125,0.7825534343719482,0.9813215732574463,2.2277132042775833,0.06514540394206476
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,29184,15.301,0,256,128,0.67578125,1.0,0.200408935546875,0.7421875,1.2647615671157837,0.9021247029304504,1.8678605802679953,0.1427040319442535
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,29184,15.301,1,256,128,0.07421875,0.9453125,0.072235107421875,0.09765625,0.5814167261123657,0.6520135402679443,2.7472432225709014,0.17269714932445476
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,29184,15.301,2,256,128,0.00390625,0.87890625,0.05584716796875,0.0234375,0.49268317222595215,0.7091777324676514,1.3004072371214168,0.018524078452632625
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,29184,15.301,3,256,128,0.015625,0.828125,0.0458984375,0.109375,0.5695084929466248,0.7220502495765686,2.8480224105963985,0.09043604031348876
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,29184,15.301,4,256,128,0.015625,0.86328125,0.061859130859375,0.0625,0.5680062770843506,0.801741898059845,2.122260279045315,0.11081383107122575
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,29184,15.301,5,256,128,0.0859375,0.77734375,0.06866455078125,0.140625,0.6318134069442749,0.6614376306533813,2.2906911459169446,0.08724014328495461
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,29184,15.301,6,256,128,0.08203125,0.81640625,0.04327392578125,0.16015625,0.6654996871948242,0.8720173835754395,2.5923419710951596,0.10247801222427538
