arm	size	budget_bt	gbs	lr	steps	tokens	loss	schedule
attn-qknorm	124M	12	64	0.001	45777	12000165888	2.6541	single
attn-qknorm	124M	20	64	0.001	76294	20000014336	2.6124	single
attn-qknorm	124M	6	64	0.001	22889	6000214016	2.7188	single
attn-qknorm	302M	12	64	0.001	45777	12000165888	2.5044	single
attn-qknorm	302M	20	128	0.001	38147	20000014336	2.4560	single
attn-qknorm	302M	6	64	0.001	22889	6000214016	2.5789	single
attn-qknorm	47M	12	64	0.002	45777	12000165888	2.8833	single
attn-qknorm	47M	20	64	0.002	76294	20000014336	2.8504	single
attn-qknorm	47M	6	32	0.002	45777	6000082944	2.9463	single
attn	124M	12	64	0.001	45777	12000165888	2.6799	single
attn	124M	20	64	0.001	76294	20000014336	2.6389	single
attn	124M	6	64	0.001	22889	6000214016	2.7471	single
attn	302M	12	64	0.001	45777	12000165888	2.5382	single
attn	302M	20	128	0.001	38147	20000014336	2.4942	single
attn	302M	6	64	0.001	22889	6000214016	2.6126	single
attn	47M	12	64	0.002	45777	12000165888	2.9109	single
attn	47M	20	64	0.002	76294	20000014336	2.8782	single
attn	47M	6	32	0.002	45777	6000082944	2.9844	single
kda-sig-hybrid-lowrank	124M	12	64	0.001	45777	12000165888	2.6072	single
kda-sig-hybrid-lowrank	124M	20	64	0.001	76294	20000014336	2.5705	single
kda-sig-hybrid-lowrank	124M	6	64	0.001	22889	6000214016	2.6718	single
kda-sig-hybrid-lowrank	302M	12	64	0.001	45777	12000165888	2.4446	single
kda-sig-hybrid-lowrank	302M	20	128	0.001	38147	20000014336	2.3956	single
kda-sig-hybrid-lowrank	302M	6	64	0.001	22889	6000214016	2.5146	single
kda-sig-hybrid-lowrank	47M	12	64	0.002	45777	12000165888	2.8522	single
kda-sig-hybrid-lowrank	47M	20	64	0.002	76294	20000014336	2.8250	single
kda-sig-hybrid-lowrank	47M	6	32	0.002	45777	6000082944	2.9126	single
kda-sig-lowrank	124M	12	64	0.001	45777	12000165888	2.6212	single
kda-sig-lowrank	124M	20	64	0.001	76294	20000014336	2.5837	single
kda-sig-lowrank	124M	6	64	0.001	22889	6000214016	2.6869	single
kda-sig-lowrank	302M	12	64	0.001	45777	12000165888	2.4505	single
kda-sig-lowrank	302M	20	128	0.001	38147	20000014336	2.4077	single
kda-sig-lowrank	302M	6	64	0.001	22889	6000214016	2.5243	single
